SMILES,exp (nM),exp_method
CC(C)(CC(=O)N1CCC(CC1)C(=O)c1ccc(cc1)C(O)=O)Cc1nc2ccccc2c(=O)[nH]1,0.450,IC50
Clc1ccc2[nH]c(=O)n([C@H]3CC[C@@H](CC3)NC(=O)CSc3nc4ccccc4c(=O)[nH]3)c2c1,0.458,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,0.461,IC50
COc1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.475,IC50
Clc1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.478,IC50
COC(=O)c1cccc(c1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2ccccc2c(=O)[nH]1,0.500,IC50
Cc1cc(F)cc2c1nc([nH]c2=O)-c1ccc(cc1)C(C)(C)O,0.500000,IC50
Fc1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.517,IC50
Clc1cc(O[C@H]2CC[C@@H](CC2)NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)ccc1C#N,0.52,IC50
CC(C)[C@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2ccccc2c(=O)[nH]1,0.530,IC50
O=C(CCCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,0.533,IC50
C[C@H](CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)Cc1nc2c(C)cccc2c(=O)[nH]1,0.550,IC50
COC(=O)c1ccc(cc1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2ccccc2c(=O)[nH]1,0.560,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)N(C)CCc1nc2ccccc2c(=O)[nH]1,0.570,IC50
CC(C)n1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ccc2c(=O)[nH]1,0.580,IC50
C[C@@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,0.590,IC50
Fc1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)oc2c1,0.593,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)c1n[nH]c2ccccc12,0.596,IC50
C[C@H]1CN(C[C@@H](C)N1)c1cc(C)c(cn1)-c1ccc(cc1)-c1nc2n(C)ccc2c(=O)[nH]1,0.600,IC50
Fc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)cc1,0.601,IC50
Cc1cc(ccc1C(O)=O)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2ccccc2c(=O)[nH]1,0.610,IC50
Clc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)cc1,0.614,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)n1c2ccccc2oc1=O,0.626,IC50
COC(=O)c1cccc(c1)C(=O)C1CCN(CC1)C(=O)C[C@@H](C)Cc1nc2c(C)cccc2c(=O)[nH]1,0.630,IC50
Clc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)cc1C#N,0.653,IC50
O=C(CCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)n1c2ccccc2[nH]c1=O,0.671,IC50
CC(C)(CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)Cc1cc2ccccc2c(=O)[nH]1,0.690,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1ccccn1,0.719,IC50
C[C@@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1cc2ccccc2c(=O)[nH]1,0.720,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cccnc23)n1-c1ccc(C)s1,0.730000,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ncc2c(=O)[nH]1,0.730,IC50
Clc1ccc2n([C@H]3CC[C@@H](CC3)NC(=O)CCSc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,0.796,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1ccncc1,0.826,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)NCCc1nc2ccccc2c(=O)[nH]1,0.840,IC50
Cc1cc(ccc1C(O)=O)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2c(C)cccc2c(=O)[nH]1,0.880,IC50
Cc1ccc2n1cc([nH]c2=O)-c1ccc(cc1)C(C)(C)O,0.900000,IC50
COc1ccc2[nH]c(=O)n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c2c1,0.981,IC50
COC(=O)c1cccc(c1)C(=O)C1CCN(CC1)C(=O)C[C@H](C)Cc1nc2c(C)cccc2c(=O)[nH]1,1.000,IC50
Cn1cc(cn1)C(=O)C1CCN(CC1)C(=O)CC1(Cc2nc3ccccc3c(=O)[nH]2)CC1,1.000,IC50
O=C1Nc2cc(CN3CCN(CC3)c3ccc(cn3)C#N)ccc2C2NCCCC12,1.000000,IC50
COc1ccc2C(=O)C3(Cc2c1)CCN(CC(=O)N(CC1CC1)Cc1nc2CCOCc2c(=O)[nH]1)CC3,1,IC50
Clc1cccc(O[C@H]2CC[C@@H](CC2)NC(=O)CCCc2nc3ccccc3c(=O)[nH]2)c1,1.02,IC50
CS(=O)(=O)c1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cccnc23)n1-c1ccccc1F,1.1,IC50
Clc1ccc2C(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)C(=O)Nc2c1,4980,IC50
NC(=O)c1cccc2cn(nc12)-c1ccc(cc1)[C@@H]1CCCNC1,5129,IC50
COc1ccccc1N1CCN(CC1)c1nc2CC[S+]([O-])Cc2c(=O)[nH]1,5345,IC50
Cc1ccc(cc1)C1NC(=O)c2cccnc2N1,5370,IC50
O=C1NC(Nc2ccccc12)c1ccccc1,5495,IC50
CC(C)C(=O)Nc1ccc(cc1)C1NC(=O)c2cccnc2N1C,6200,IC50
COc1ccccc1N1CCC(CC1)c1nc2CCCCc2c(=O)[nH]1,6417,IC50
NC(=O)c1ccc(Oc2cccc(c2)C(N)=O)cc1,6500,IC50
CN1C(NC(=O)c2cccnc12)c1ccc(NC(=O)C2CCOCC2)cc1,6600,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCNCc2c(=O)[nH]1,6984,IC50
O=C1NC(Nc2ccccc12)c1cccc(OCc2ccccc2)c1,7244,IC50
COc1ccc2C(=O)CC(CC(=O)NCCNC(=O)c3ccccc3N3CCC(=O)NC3=O)c2c1,7900,IC50
O=C(NCc1ccccc1)[C@H]1CC[C@H](Cn2c(=O)n(Cc3ccccc3C#N)c3ccccc3c2=O)CC1,7943,IC50
O=C(NCCc1nc(no1)-c1ccccn1)c1ccccc1N1CCC(=O)NC1=O,8100,IC50
O=C(NCc1ccc(cc1)-n1cccn1)c1ccccc1N1CCC(=O)NC1=O,8300,IC50
COc1ccccc1N1CCN(CC1)C1=NC2CCCCCC2C(=O)N1,9336,IC50
O=c1[nH][nH]c(=O)c2cc(OCc3ccsc3)ccc12,>10000,IC50
COc1ccc(cc1)-n1c(NCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccncc1,>10000,IC50
COc1ccc(cc1)-n1c(OCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccncc1,>10000,IC50
CN1C(NC(=O)c2cccnc12)c1ccc(Cl)cc1Cl,10000,IC50
O=c1[nH]c(cc2ncccc12)-c1ccccc1,10600,IC50
O=C1NC(Nc2ncccc12)c1ccccc1,11482,IC50
Fc1ccc(cc1)-c1nnc(C=Cc2nnc(o2)-c2cc[nH]c(=O)c2)n1-c1ccccc1Cl,12300,IC50
Fc1ccccc1C1NC(=O)c2ccccc2N1,15000,IC50
Cn1cc(cn1)-c1ccc(cc1)-c1cncc(Cl)c1N1CCC2(CCNC2=O)CC1,15000,IC50
Clc1cncc(-c2ccc(cc2)N2CCOCC2)c1N1CCC2(CCNC2=O)CC1,16000,IC50
Fc1ccc(cc1)-c1nnc(SCc2nc(no2)-c2ccccc2)n1-c1ccccc1,>19000,IC50
C(Sc1nnc(-c2cccs2)n1-c1ccccc1)c1nc(no1)-c1ccccc1,>19000,IC50
C(Sc1nnc(-c2ccccc2)n1-c1ccccc1)c1nc(no1)-c1ccccc1,>19000,IC50
COc1ccc(cc1)-n1c(SCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccccc1,>19000,IC50
C(Sc1nnc(-c2ccco2)n1-c1ccccc1)c1nc(no1)-c1ccccc1,>19000,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCN(C)Cc2c(=O)[nH]1,>20000,IC50
Brc1cccc(COc2ccc3c(c2)c2ccsc2[nH]c3=O)c1,20000,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCC(C)(C)Cc2c(=O)[nH]1,>20000,IC50
CC(C)Oc1ccc2c(c1)c1ccsc1[nH]c2=O,22000,IC50
C[C@@]1(CCCN1)c1nc2cccc(C(N)=O)c2[nH]1,23988,IC50
Clc1ccccc1C1NC(=O)c2ccccc2N1,31200,IC50
COc1ccc2N(CCCc2c1)C(=O)C1CCN(CC(=O)NCc2nc3CCOCc3c(=O)[nH]2)CC1,31200,IC50
CC(C)(C)c1ccc(cc1)C1NC(=O)c2cccnc2N1,53000,IC50
O=c1[nH]c2sccc2c2cc(OCc3ccccc3)ccc12,57000,IC50
Fc1ccccc1C1NC(=O)c2cccnc2N1,63000,IC50
CCCc1c(C)nc(nc1O)N1CCN(CC1)c1ccccc1F,63096,IC50
Cc1ccccc1C1NC(=O)c2ccccc2N1,92000,IC50
Cc1ccccc1C1NC(=O)c2cccnc2N1,93000,IC50
Cc1cccc2c1nc(CCC(O)=O)[nH]c2=O,>100000,IC50
Nc1ccc(cc1)C(=O)Nc1cccc2cccnc12,>100000,IC50
OC(=O)CCc1nc(O)c2ccccc2n1,>100000,IC50
O=c1[nH]c(nc2OCCc12)N1CCNCC1,>100000,IC50
NC(=O)c1ccc(Oc2ccc(cc2)C(N)=O)cc1,>100000,IC50
NC(=O)c1ccc(Oc2ccc(cc2)C#N)cc1,>100000,IC50
NC(=O)c1ccc(OCc2cccc(Br)c2)cc1,>100000,IC50
NC(=O)c1ccc(OCC2CCCCC2)cc1,>100000,IC50
NC(=O)c1ccc(OCC2CCCC2)cc1,>100000,IC50
NC(=O)c1ccc(OCC2CCC2)cc1,>100000,IC50
NC(=O)c1ccc(OCC2CC2)cc1,>100000,IC50
NC(=O)c1ccc(OCc2cncs2)cc1,>100000,IC50
COc1cc(OCC2CCCCC2)ccc1C(N)=O,>100000,IC50
COc1cc(OCc2cccc(Br)c2)ccc1C(N)=O,>100000,IC50
COc1cc(OCc2cccc3ccccc23)ccc1C(N)=O,>100000,IC50
COc1cc(OCc2ccccc2F)ccc1C(N)=O,>100000,IC50
NC(=O)c1ccc(OCC2CCCCC2)cc1F,>100000,IC50
NC(=O)c1ccc(OCC2CCC2)cc1F,>100000,IC50
NC(=O)c1ccc(OCc2cccc(Br)c2)cc1F,>100000,IC50
COc1ccccc1COc1ccc(C(N)=O)c(F)c1,>100000,IC50
NC(=O)c1ccc(OCC2CCCCC2)cc1OCc1ccccn1,>100000,IC50
NC(=O)c1ccc(OCC2CCC2)cc1OCCN1CCNCC1,>100000,IC50
O=c1[nH][nH]c(=O)c2cc(OCC3CCCCC3)ccc12,>100000,IC50
O=c1[nH][nH]c(=O)c2cc(OCC3CCCC3)ccc12,>100000,IC50
O=c1[nH][nH]c(=O)c2cc(OCC3CCC3)ccc12,>100000,IC50
O=c1[nH][nH]c(=O)c2cc(OCC3CC3)ccc12,>100000,IC50
Brc1cccc(COc2ccc3c(c2)c(=O)[nH][nH]c3=O)c1,>100000,IC50
Fc1ccccc1COc1ccc2c(c1)c(=O)[nH][nH]c2=O,>100000,IC50
Cc1c2CCNC(=O)c2ccc1-c1ccnc(c1)C(F)(F)F,>100000,IC50
NC(=O)c1ccc(Oc2ccc(C=O)cc2)cc1,>100000,IC50
NC(=O)c1ccc(OCc2ccccc2F)cc1,>100000,IC50
NC(=O)c1ccc(Oc2ccc(cc2)C(O)=O)cc1,>100000,IC50
COc1ccc(cc1)C(N)=O,>100000,IC50
Clc1ccccc1C1NC(=O)c2cccnc2N1,140000,IC50
CCCC1Cc2[nH]c3cccc4c3c2c(C1)n[nH]c4=O,164000,IC50
O=C1NC(Nc2ncccc12)c1cccc(OCc2ccccc2)c1,230000,IC50
CC(N1Cc2[nH]c3cccc4c3c2c(C1)n[nH]c4=O)C(C)(C)N,3800000,IC50
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,6.6,Kd
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,120,Kd
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,15,Kd
COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1,>10000,Kd
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,>10000,Kd
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,8900,Kd
FC(F)(F)c1ccc(cc1)-c1nc2CCSCc2c(=O)[nH]1,10,Kd
Oc1c2[C@H]3C[C@H](C=C3)c2c(O)n1-c1ccc(cc1)C(=O)Nc1ccccc1,>25000,EC50
Oc1c2[C@H]3C[C@H](C=C3)c2c(O)n1-c1ccc(cc1)C(=O)Nc1ccc(Br)cc1,1000,EC50
Oc1c2[C@H]3C[C@H](C=C3)c2c(O)n1-c1ccc(cc1)C(=O)NCc1ccccc1,20000,EC50
Oc1c2[C@H]3C[C@H](C=C3)c2c(O)n1-c1ccc(cc1)C(=O)NCc1ccncc1,10000,EC50
CO[C@H]1CCCC[C@@H]1NC(=O)c1ccc(cc1)-n1c(O)c2[C@H]3C[C@H](C=C3)c2c1O,2000,EC50
Oc1c2[C@H]3C[C@H](C=C3)c2c(O)n1-c1ccc(cc1)C(=O)NC1CCCCC1,>25000,EC50
Oc1c2[C@H]3CC[C@H](C3)c2c(O)n1-c1ccc(cc1)C(=O)Nc1cccc2cccnc12,200,EC50
COc1cc(CC=C)cc(c1O)-c1cc(CC=C)cc(O)c1O,21,Kd
Oc1nc(nc2CCSCc12)-c1ccc(cc1)C(F)(F)F,4.2,Kd
COc1cc(CCCOC(C)=O)cc(c1O)-c1cc(CCCOC(C)=O)cc(OC)c1O,6.5,Kd
COc1cc(CCCO)cc(c1O)-c1cc(CCCO)cc(OC)c1O,19,Kd
O=C(NCc1ccco1)c1ccc2nccnc2c1,1050000,Kd
C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O,>10000,Kd
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3nc(C)cnc23)n1-c1ccccc1F,1.1,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2cccnc2[nH]c1=O,1.18,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1cccc(c1)C#N,1.25,IC50
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)n1c2ccc(cc2[nH]c1=O)C#N,1.31,IC50
Fc1ccc(cc1Cl)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCSc1nc2ccccc2c(=O)[nH]1,1.38,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(cc1)C(C)(C)O,1.4,IC50
Cc1cc(F)cc2c1nc([nH]c2=O)-c1ccc(cc1)C(C)(C)OCCO,1.5,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cc(F)cc3nccnc23)n1-c1ccccc1F,1.5,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3ncc(C)nc23)n1-c1ccccc1F,1.5,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2ncccc2[nH]c1=O,1.51,IC50
Cc1cccc(n1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cc(F)cc3nccnc23)n1-c1ccccc1F,1.6,IC50
Fc1ccccc1-n1c(nnc1-c1ccccn1)[C@H]1C[C@@H](C1)NC(=O)c1cccc2nccnc12,1.6,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cc(F)cnc23)n1-c1ccc(C)s1,1.6,IC50
Cc1ccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,1.6,IC50
Fc1cccc2n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c12,1.68,IC50
COc1ccc(cc1)-c1cc2N(C)CCCc2c(=O)[nH]1,1.7,IC50
Cc1cccc(n1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3nccnc23)n1-c1ccccc1F,1.7,IC50
COc1ncc(cc1C)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ncc2c(=O)[nH]1,1.80,IC50
Fc1cnc2c(ccnc2c1)C(=O)N[C@H]1C[C@@H](C1)c1nnc(-c2ccccn2)n1-c1ccccc1F,1.8,IC50
CN1CCN(CC1)c1ccc(cc1)-c1nc2c(C)cc(F)cc2c(=O)[nH]1,1.8,IC50
CS(=O)(=O)c1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3cccnc23)n1-c1ccccc1F,1.8,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2ccccc2sc1=O,1.81,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3nccnc23)n1-c1ccccc1F,1.9,IC50
FC(F)Oc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3nccnc23)n1-c1ccccc1F,1.9,IC50
C[C@@H](CC(=O)N1CCC(CC1)C(=O)c1cnn(C)c1)Cc1nc2ccccc2c(=O)[nH]1,1.90,IC50
Fc1cc(C(=O)N[C@H]2C[C@@H](C2)c2nnc(-c3ccccn3)n2-c2ccccc2F)c2nccnc2c1,2.0,IC50
COc1ccccc1NC(=O)c1ccc(NC(=O)CCc2nc3ccccc3c(=O)[nH]2)cc1,2.0,IC50
Cc1cccc2c1nc(CC(C)(C)CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)[nH]c2=O,2.00,IC50
FC(F)Oc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cc(F)cnc23)n1-c1ccccc1F,2.0,IC50
Clc1ccc(cc1)-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,2.06,IC50
COC(=O)c1cccc(c1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2c(C)cccc2c(=O)[nH]1,2.10,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)COCc1nc2ccccc2c(=O)[nH]1,2.10,IC50
COc1ccc(cn1)C(=O)C1CCN(CC1)C(=O)CC(C)(C)Cc1nc2n(C)ncc2c(=O)[nH]1,2.10,IC50
Cc1cccc(n1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cc(F)cnc23)n1-c1ccccc1F,2.2,IC50
CN1CCC(CC1)c1ccc(cc1)-c1nc2c(C)cc(F)cc2c(=O)[nH]1,2.2,IC50
Cc1cccc(n1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cccnc23)n1-c1ccccc1F,2.2,IC50
CN(CCc1nc2ccccc2c(=O)[nH]1)C(=O)N1CCC(CC1)C(=O)c1cnn(C)c1,2.20,IC50
COc1ccccc1N1CCN(CC1)c1nc2CCSCc2c(=O)[nH]1,2.3,IC50
Fc1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)CSc2nc3ccccc3c(=O)[nH]2)cc1,2.38,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1cccnc1,2.39,IC50
FC(F)Oc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cc(F)cc3nccnc23)n1-c1ccccc1F,2.4,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3cccnc23)n1-c1ccc(C)s1,2.4,IC50
Fc1ccccc1-n1c(nnc1-c1ccccn1)[C@H]1C[C@@H](C1)NC(=O)c1ccnc2cccnc12,2.4,IC50
COc1ccc2C(=O)C3(Cc2c1)CCN(CC(=O)N(CC(F)F)Cc1nc2CCOCc2c(=O)[nH]1)CC3,2.5,IC50
C1CC2=C(CS1)N=C(NC2)c1ccccc1,2.5,IC50
O=C(CCSc1nc2CCCCc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,2.51,IC50
Clc1ccc2n([C@H]3CC[C@@H](CC3)NC(=O)CSc3nc4ccccc4c(=O)[nH]3)c(=O)[nH]c2c1,2.52,IC50
Clc1cccc(c1)-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,2.54,IC50
Fc1ccc(cc1)-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,2.59,IC50
Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)NC(=O)c1ccnc2cccnc12,2.6,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2cccc3nc(C)c(C)nc23)n1-c1ccccc1F,2.6,IC50
COc1ccc(cc1)N1CCN(CC1)c1nc2CCSCc2c(=O)[nH]1,2.6,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1nnc2ccccc12,2.75,IC50
Fc1cccc2NCC3(CCN(CC3)c3nc4CCCCc4c(=O)[nH]3)c12,2.8,IC50
C[C@@H](CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,2.80,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cc(F)cnc23)n1-c1ccncc1,2.9,IC50
FC(F)Oc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cccnc23)n1-c1ccccc1F,2.9,IC50
COc1ccc(cc1C)C(=O)C1CCN(CC1)[C@H]1CCN(Cc2nc3CCOCc3c(=O)[nH]2)C1=O,3,IC50
O=C(Nc1cccc2c1cc[nH]c2=O)[C@H]1CCCNC1,3.0,IC50
COc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)COCc1nc2c(F)cc(F)cc2c(=O)[nH]1,3.00,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(O)cc1,3,IC50
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccncc1,3.11,IC50
O=C(CCSc1nc2CCCCc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)Oc1ccc(cc1)C#N,3.13,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)c1nnc(o1)-c1cccc(c1)C#N,3.19,IC50
O=c1[nH]nc2c3CCCCc3[nH]c3cccc1c23,3.2,IC50
CC(C)(CC(=O)N1CCC(CC1)C(=O)c1cccc(c1)C(O)=O)Cc1nc2ccccc2c(=O)[nH]1,3.30,IC50
Fc1cc2NCC3(CCN(CC3)c3nc4CCCCc4c(=O)[nH]3)c2c(F)c1,3.3,IC50
Fc1ccccc1-n1c(nnc1-c1nccs1)[C@H]1C[C@@H](C1)NC(=O)c1ccnc2cccnc12,3.3,IC50
Cc1cccc2c1nc([nH]c2=O)-c1ccc(N)cc1,3.3,IC50
Fc1cccc(c1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCSc1nc2ccccc2c(=O)[nH]1,3.34,IC50
COc1ccc(cc1)-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,3.35,IC50
Cc1ccc2[nH]c(=O)n(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c2c1,3.38,IC50
Cc1cccc2c1nc([nH]c2=O)N1CCC2(CC1)C(=O)N(CCO)c1cc(F)cc(F)c21,3.4,IC50
Cc1cc(=O)[nH]c(SCCC(=O)N[C@H]2CC[C@@H](CC2)c2nnc(o2)-c2ccccc2)n1,3.48,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c2ccccc2oc1=O,3.53,IC50
O=C(CSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,3.59,IC50
CC(C)(C)c1ccc(cc1)-c1nc2ccc(F)cc2c(=O)[nH]1,3.6,IC50
Clc1ccccc1-n1c(nnc1C12CC(C1)(C2)n1c2ccc(cc2[nH]c1=O)C#N)-c1ccncn1,3.6,IC50
Cc1ccc2n1nc(CCCC(=O)N1CCC(CC1)Oc1ccc(cc1)C#N)[nH]c2=O,3.9,IC50
Fc1ccc(cc1Cl)-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,3.91,IC50
Fc1ccc(cc1)-c1nnc(o1)[C@H]1CC[C@@H](CC1)NC(=O)CCSc1nc2ccccc2c(=O)[nH]1,3.98,IC50
Fc1ccc2C(=O)C3(Cc2c1)CCN(CC(=O)N(CC1CC1)Cc1nc2CCOCc2c(=O)[nH]1)CC3,4,IC50
FC(F)(F)c1ccc(cc1)-c1nc2CSCCc2c(=O)[nH]1,4.0,IC50
O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCC(=CC1)n1c2ccccc2[nH]c1=O,4.01,IC50
O=C(CCSc1nc2ccccc2c(=O)[nH]1)N[C@H]1CC[C@@H](CC1)c1nnc(o1)-c1ccccc1,4.1,IC50
Cc1cccc(c1)-c1nnc(o1)C1CCN(CC1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1,4.13,IC50
COc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(CC3)C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)cc2)cc1,4.2,IC50
Fc1ccc2onc(C3CCN(CC3)C(=O)CCCc3nc4ccccc4c(=O)[nH]3)c2c1,4.24,IC50
CCOc1ccc(nc1)-c1nnc([C@H]2C[C@@H](C2)NC(=O)c2ccnc3cccnc23)n1-c1ccccc1F,4.3,IC50
